name,atlasName,atlasId,cohortId
Performance status ECOG=0,[PIONEER 2.0] Performance Status ECOG=0,283,301
Performance status ECOG=1,[PIONEER 2.0] Performance Status ECOG=1,294,302
Performance status ECOG=2+,[PIONEER 2.0] Performance Status ECOG=2+,298,303
Obesity,[Pioneer 2.0] Prevalent obesity S11,282,304
Hypertension,[Pioneer 2.0] Prevalent hypertension S12,284,305
Total Cardiovascular Disease Event,[Pioneer 2.0] Total Cardiovascular Disease Event S13,286,306
Type 2 diabetes,[Pioneer 2.0] Prevalent Type 2 Diabetes Mellitus S15,287,307
VTE,[Pioneer 2.0] Venous thromboembolic (pulmonary embolism and deep vein thrombosis) events S16,288,308
Anxiety,[Pioneer 2.0] Anxiety S17,289,309
Prevalent Asthma or Chronic obstructive pulmonary disease (COPD),[Pioneer 2.0] Prevalent Asthma or Chronic obstructive pulmonary disease (COPD) S18,290,310
Family history of Prostate cancer or history of family history of germline mutations,[Pioneer 2.0] Family History of PCa S22,292,311
Physical Therapy Exercise,[Pioneer 2.0] Physical Therapy S23,293,312
"Metastasis stage M1a, any T, any N",[PIONEER 2.0] Strata Cohort S24 Metastasis stage M1a,302,313
"Metastasis stage M1b, any N, Any T",[PIONEER 2.0] Strata Cohort S25 Metastasis stage M1b,303,314
"Metastatis stage M1c, any T, any M",[PIONEER 2.0] Strata Cohort S26 Metastasis stage M1c,304,315
Metastasis recurrent RT,[PIONEER 2.0] Metastasis recurrent RT-FINAL,305,316
Metastasis recurrent RP,[PIONEER 2.0] Metastasis recurrent RP-FINAL,301,317
"Prostate MRI -90, +90 days of dx",[PIONEER 2.0] MRI of prostate FINAL,295,318
"Bone scan -90 -, +90 days dx",[Pioneer 2.0] Bone scan S30,291,319
"Full body CT scan -90, +90 days dx",[PIONEER 2.0] Abdominal CT scan,297,320
"Full body CT scan -90, +90 days metastatic disease",[PIONEER 2.0] CT scan of whole body S32,317,321
"PET CT imaging -90, +90 days dx",[PIONEER 2.0] PET-CT imaging FINAL,299,322
PSA gt 20 at Diagnosis,[PIONEER S7] PSA>20,58,323
PSA lt 10 at Diagnosis,[PIONEER S8] PSA<10,59,324
PSA 10-20 at Diagnosis,[PIONEER S9] PSA 10-20,60,325
Grade 1 at dx=earliest (GS 3+3),[PIONEER V2.0] Earliest Gleason Grade 1,326,326
"Grade 2,3 at dx=earliest (GS 3+4, G 4+3)",[PIONEER V2.0] Earliest Gleason Grade 2 - 3,329,327
Grade 4 at dx (GS 4+4 or 3+5 or 5+3),[PIONEER V2.0] Earliest Gleason Grade 4,330,328
Grade 5 at dx (5+5 or 4+5 or 5+4),[PIONEER V2.0] Earliest Gleason Grade 5,331,329
EAU High Risk,[PIONEER S1] High-Risk,52,330
EAU Low Risk,[PIONEER S2] Low-Risk,53,331
EAU Intermediate Risk,[PIONEER S3] Intermediate-Risk,54,332
Prostate MRI,[Pioneer 2.0] MRI of prostate S59,315,333
Bone scan,[PIONEER 2.0] Bone scan FINAL,309,334
CT thorax abdomen OR full body MRI,[PIONEER 2.0] CT thorax_abdomen_pelvis OR full body MRI FINAL,316,335
PSA gt 20 at index,REVIEW [Pioneer v2.0] PSA higher than 20,398,336
PSA lt 10 at index,REVIEW [Pioneer v2.0] PSA lower than 10,396,337
PSA 10-20 at index,REVIEW [Pioneer v2.0] PSA between 10 - 20 at index,397,338
Fatigue,[Pioneer 2.0] Fatigue,311,339
Diarrhea,[Pioneer 2.0] Diarrhea,318,340
Thrombocytopenia,FDA AESI Immune thrombocytopenia (ITP) events,312,341
Neutropenia,{PIONEER 2.0] Neutropenia,340,342
Convulsion,[PIONEER 2.0] Convulsion,345,343
Myocardial infaction,[Pioneer 2.0] Acute myocardial infarction,313,344
Constipation,[PIONEER 2.0] Constipation,402,345
Hypokalemia,[PIONEER 2.0] Hypokalemia,374,346
Index year 2016,[PIONEER 2.0] Index date 2016,352,347
Index year 2017,[PIONEER 2.0] Index date 2017,353,348
Index year 2018,[PIONEER 2.0] Index date 2018,355,349
Index year 2019,[PIONEER 2.0] Index date 2019,356,350
Index year 2020,[PIONEER 2.0] Index date 2020,357,351
Index year 2021,[PIONEER 2.0] Index year 2021,358,352
Index year 2022,[PIONEER 2.0] Index year 2022,359,353
ADT (anti-androgen AND OR LHRH),REVIEW [PIONEER 2.0] ADT (LHRH or anti-androgen),367,354
anti androgen,REVIEW [PIONEER 2.0] ADT (Anti-androgen exclusive),369,355
LHRH,REVIEW [PIONEER 2.0] ADT (LHRH exclusive),370,356
anti-androgen AND LHRH,REVIEW [PIONEER 2.0] ADT (LHRH AND anti-androgens),371,357
ADT+ ARTA,REVIEW [PIONEER 2.0] ADT + ARTA,372,358
