name,atlasName,atlasId,cohortId
201,[PIONEER 2.0] Symptomatic progression-FINAL,361,201
202,[Pioneer 2.0] Death O4 1,362,202
203,[PIONEER 2.0] RT after pain and or hematuria FINAL,341,203
204,[PIONEER 2.0] Placement of urethral stent or neprhrostomy for AKI FINAL,339,204
205,[PIONEER 2.0] Colostomy FINAL,333,205
206,[Pioneer 2.0] Chronic foley catheter FINAL,334,206
207,[PIONEER 2.0] Pelvic exenteration FINAL,338,207
208,[PIONEER 2.0] Suprapubic catheter FINAL,337,208
209,[PIONEER 2.0] TUR FINAL,332,209
210,[PIONEER 2.0] Hospitalization,324,210
211,[PIONEER 2.0] ER Visit,327,211
