name,atlasName,atlasId,cohortId
301,[PIONEER 2.0] Performance Status ECOG=0 at met Dx FINAL,283,301
302,[PIONEER 2.0] Performance Status ECOG=1 at met Dx FINAL,422,302
303,[PIONEER 2.0] Performance Status ECOG=2+ at met Dx FINAL,423,303
304,[PIONEER 2.0] Prevalent obesity FINAL,282,304
305,[PIONEER 2.0] Prevalent hypertension FINAL,284,305
306,[PIONEER 2.0] Total Cardiovascular Disease Event FINAL,286,306
307,[PIONEER 2.0] Prevalent Type 2 Diabetes Mellitus FINAL,287,307
308,[PIONEER 2.0] Venous thromboembolic (pulmonary embolism and deep vein thrombosis) events FINAL,288,308
309,[PIONEER 2.0] Anxiety FINAL,289,309
310,[PIONEER 2.0] Prevalent Asthma or COPD FINAL,290,310
311,[PIONEER 2.0] Family History of PCa FINAL,292,311
312,[PIONEER 2.0] Physical Therapy FINAL,293,312
313,[PIONEER 2.0] Metastasis stage M1a FINAL,441,313
314,[PIONEER 2.0] Metastasis stage M1b FINAL,303,314
315,[PIONEER 2.0] Strata Cohort S26 Metastasis stage M1c,304,315
316,"[PIONEER 2.0] N1, M0Mx, any T FINAL",409,316
317,[PIONEER 2.0] Metastasis recurrent RT-FINAL,305,317
318,[PIONEER 2.0] Metastasis recurrent RP-FINAL,301,318
319,[PIONEER 2.0] MRI of prostate FINAL,295,319
320,[PIONEER 2.0] Bone scan FINAL,309,320
321,[PIONEER 2.0] CT scan of whole body around Dx,285,321
322,[PIONEER 2.0] CT scan of whole body around metastasis,317,322
323,[PIONEER 2.0] PET-CT imaging FINAL,299,323
324,[PIONEER 2.0] PSA above 20 at Dx FINAL,398,324
325,[PIONEER 2.0] PSA below 10 at Dx FINAL,410,325
326,[PIONEER 2.0] PSA 10-20 at Dx FINAL,411,326
327,[PIONEER 2.0] Gleason Grade 1 at Dx FINAL,326,327
328,[PIONEER V2.0] Earliest Gleason Grade 2 - 3,329,328
329,[PIONEER V2.0] Earliest Gleason Grade 4,330,329
330,[PIONEER V2.0] Earliest Gleason Grade 5,331,330
331,[PIONEER S1] High-Risk,52,331
332,[PIONEER S2] Low-Risk,53,332
333,[PIONEER S3] Intermediate-Risk,54,333
334,[PIONEER 2.0] MRI of prostate FINAL,295,334
335,[PIONEER 2.0] Bone scan FINAL,309,335
336,[PIONEER 2.0] CT thorax_abdomen_pelvis OR full body MRI FINAL,316,336
337,[PIONEER 2.0] PET-CT imaging FINAL,299,337
338,[PIONEER 2.0] PSA above 20 at mets dx FINAL,414,338
339,[PIONEER 2.0] PSA below 10 at mets dx FINAL,413,339
340,[PIONEER 2.0] PSA 10-20 at mets dx FINAL,412,340
341,[PIONEER 2.0] T1cN0NxM0Mx-FINAL,380,341
342,[PIONEER 2.0] T2abN0NxM0Mx-FINAL,385,342
343,[PIONEER 2.0] T2c+N0NxM0Mx-FINAL,384,343
