cohortId,targetId,targetName,strataId,strataName,cohortType
101,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC (update ADT),0,All,Target
102,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous),0,All,Target
103,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC (update ADT),0,All,Target
104,104,[PIONEER 2.0] Target Cohort 2.0 diagnosed mHSPC (all) with any treatment,0,All,Target
105,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) [update ADT list cancer modifieres],0,All,Target
106,106,"[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated [update ADT, Cancer Modifiers]",0,All,Target
101003012,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC (update ADT),301,without [PIONEER 2.0] Performance Status ECOG=0,TwoS
102003012,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous),301,without [PIONEER 2.0] Performance Status ECOG=0,TwoS
103003012,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC (update ADT),301,without [PIONEER 2.0] Performance Status ECOG=0,TwoS
104003012,104,[PIONEER 2.0] Target Cohort 2.0 diagnosed mHSPC (all) with any treatment,301,without [PIONEER 2.0] Performance Status ECOG=0,TwoS
105003012,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) [update ADT list cancer modifieres],301,without [PIONEER 2.0] Performance Status ECOG=0,TwoS
106003012,106,"[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated [update ADT, Cancer Modifiers]",301,without [PIONEER 2.0] Performance Status ECOG=0,TwoS
101003022,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC (update ADT),302,without [PIONEER 2.0] Performance Status ECOG=1,TwoS
102003022,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous),302,without [PIONEER 2.0] Performance Status ECOG=1,TwoS
103003022,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC (update ADT),302,without [PIONEER 2.0] Performance Status ECOG=1,TwoS
104003022,104,[PIONEER 2.0] Target Cohort 2.0 diagnosed mHSPC (all) with any treatment,302,without [PIONEER 2.0] Performance Status ECOG=1,TwoS
105003022,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) [update ADT list cancer modifieres],302,without [PIONEER 2.0] Performance Status ECOG=1,TwoS
106003022,106,"[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated [update ADT, Cancer Modifiers]",302,without [PIONEER 2.0] Performance Status ECOG=1,TwoS
101003032,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC (update ADT),303,without [PIONEER 2.0] Performance Status ECOG=2+,TwoS
102003032,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous),303,without [PIONEER 2.0] Performance Status ECOG=2+,TwoS
103003032,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC (update ADT),303,without [PIONEER 2.0] Performance Status ECOG=2+,TwoS
104003032,104,[PIONEER 2.0] Target Cohort 2.0 diagnosed mHSPC (all) with any treatment,303,without [PIONEER 2.0] Performance Status ECOG=2+,TwoS
105003032,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) [update ADT list cancer modifieres],303,without [PIONEER 2.0] Performance Status ECOG=2+,TwoS
106003032,106,"[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated [update ADT, Cancer Modifiers]",303,without [PIONEER 2.0] Performance Status ECOG=2+,TwoS
101003042,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC (update ADT),304,without [Pioneer 2.0] Prevalent obesity S11,TwoS
102003042,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous),304,without [Pioneer 2.0] Prevalent obesity S11,TwoS
103003042,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC (update ADT),304,without [Pioneer 2.0] Prevalent obesity S11,TwoS
104003042,104,[PIONEER 2.0] Target Cohort 2.0 diagnosed mHSPC (all) with any treatment,304,without [Pioneer 2.0] Prevalent obesity S11,TwoS
105003042,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) [update ADT list cancer modifieres],304,without [Pioneer 2.0] Prevalent obesity S11,TwoS
106003042,106,"[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated [update ADT, Cancer Modifiers]",304,without [Pioneer 2.0] Prevalent obesity S11,TwoS
101003052,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC (update ADT),305,without [Pioneer 2.0] Prevalent hypertension S12,TwoS
102003052,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous),305,without [Pioneer 2.0] Prevalent hypertension S12,TwoS
103003052,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC (update ADT),305,without [Pioneer 2.0] Prevalent hypertension S12,TwoS
104003052,104,[PIONEER 2.0] Target Cohort 2.0 diagnosed mHSPC (all) with any treatment,305,without [Pioneer 2.0] Prevalent hypertension S12,TwoS
105003052,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) [update ADT list cancer modifieres],305,without [Pioneer 2.0] Prevalent hypertension S12,TwoS
106003052,106,"[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated [update ADT, Cancer Modifiers]",305,without [Pioneer 2.0] Prevalent hypertension S12,TwoS
101003062,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC (update ADT),306,without [Pioneer 2.0] Total Cardiovascular Disease Event S13,TwoS
102003062,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous),306,without [Pioneer 2.0] Total Cardiovascular Disease Event S13,TwoS
103003062,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC (update ADT),306,without [Pioneer 2.0] Total Cardiovascular Disease Event S13,TwoS
104003062,104,[PIONEER 2.0] Target Cohort 2.0 diagnosed mHSPC (all) with any treatment,306,without [Pioneer 2.0] Total Cardiovascular Disease Event S13,TwoS
105003062,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) [update ADT list cancer modifieres],306,without [Pioneer 2.0] Total Cardiovascular Disease Event S13,TwoS
106003062,106,"[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated [update ADT, Cancer Modifiers]",306,without [Pioneer 2.0] Total Cardiovascular Disease Event S13,TwoS
101003072,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC (update ADT),307,without [Pioneer 2.0] Prevalent Type 2 Diabetes Mellitus S15,TwoS
102003072,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous),307,without [Pioneer 2.0] Prevalent Type 2 Diabetes Mellitus S15,TwoS
103003072,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC (update ADT),307,without [Pioneer 2.0] Prevalent Type 2 Diabetes Mellitus S15,TwoS
104003072,104,[PIONEER 2.0] Target Cohort 2.0 diagnosed mHSPC (all) with any treatment,307,without [Pioneer 2.0] Prevalent Type 2 Diabetes Mellitus S15,TwoS
105003072,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) [update ADT list cancer modifieres],307,without [Pioneer 2.0] Prevalent Type 2 Diabetes Mellitus S15,TwoS
106003072,106,"[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated [update ADT, Cancer Modifiers]",307,without [Pioneer 2.0] Prevalent Type 2 Diabetes Mellitus S15,TwoS
101003082,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC (update ADT),308,without [Pioneer 2.0] Venous thromboembolic (pulmonary embolism and deep vein thrombosis) events S16,TwoS
