cohortId,targetId,targetName,strataId,strataName,cohortType
1,1,Newly diagnosed prostate cancer,0,All,Target
2,2,Newly diagnosed prostate cancer initiated immediate conservative trt,0,All,Target
3,3,Newly diagnosed prostate cancer initiated delayed conservative trt,0,All,Target
4,4,Newly diagnosed prostate cancer initiated immediate curative trt,0,All,Target
5,5,Newly diagnosed prostate cancer initiated delayed curative trt,0,All,Target
7,7,Treatment category: prostatectomy surgery,0,All,Target
8,8,Treatment category: radiotherapy,0,All,Target
9,9,Treatment category: systemic chemotherapy,0,All,Target
10,10,EAU High Risk,0,All,Target
11,11,EAU Low Risk,0,All,Target
12,12,EAU Intermediate Risk,0,All,Target
1000362,1,Newly diagnosed prostate cancer,36,without Obesity,TwoS
2000362,2,Newly diagnosed prostate cancer initiated immediate conservative trt,36,without Obesity,TwoS
3000362,3,Newly diagnosed prostate cancer initiated delayed conservative trt,36,without Obesity,TwoS
4000362,4,Newly diagnosed prostate cancer initiated immediate curative trt,36,without Obesity,TwoS
5000362,5,Newly diagnosed prostate cancer initiated delayed curative trt,36,without Obesity,TwoS
7000362,7,Treatment category: prostatectomy surgery,36,without Obesity,TwoS
8000362,8,Treatment category: radiotherapy,36,without Obesity,TwoS
9000362,9,Treatment category: systemic chemotherapy,36,without Obesity,TwoS
10000362,10,EAU High Risk,36,without Obesity,TwoS
11000362,11,EAU Low Risk,36,without Obesity,TwoS
12000362,12,EAU Intermediate Risk,36,without Obesity,TwoS
1000372,1,Newly diagnosed prostate cancer,37,without Hypertension,TwoS
2000372,2,Newly diagnosed prostate cancer initiated immediate conservative trt,37,without Hypertension,TwoS
3000372,3,Newly diagnosed prostate cancer initiated delayed conservative trt,37,without Hypertension,TwoS
4000372,4,Newly diagnosed prostate cancer initiated immediate curative trt,37,without Hypertension,TwoS
5000372,5,Newly diagnosed prostate cancer initiated delayed curative trt,37,without Hypertension,TwoS
7000372,7,Treatment category: prostatectomy surgery,37,without Hypertension,TwoS
8000372,8,Treatment category: radiotherapy,37,without Hypertension,TwoS
9000372,9,Treatment category: systemic chemotherapy,37,without Hypertension,TwoS
10000372,10,EAU High Risk,37,without Hypertension,TwoS
11000372,11,EAU Low Risk,37,without Hypertension,TwoS
12000372,12,EAU Intermediate Risk,37,without Hypertension,TwoS
1000382,1,Newly diagnosed prostate cancer,38,"without Cardiovascular events (CVE; myocardial infarction, stroke)",TwoS
2000382,2,Newly diagnosed prostate cancer initiated immediate conservative trt,38,"without Cardiovascular events (CVE; myocardial infarction, stroke)",TwoS
3000382,3,Newly diagnosed prostate cancer initiated delayed conservative trt,38,"without Cardiovascular events (CVE; myocardial infarction, stroke)",TwoS
4000382,4,Newly diagnosed prostate cancer initiated immediate curative trt,38,"without Cardiovascular events (CVE; myocardial infarction, stroke)",TwoS
5000382,5,Newly diagnosed prostate cancer initiated delayed curative trt,38,"without Cardiovascular events (CVE; myocardial infarction, stroke)",TwoS
7000382,7,Treatment category: prostatectomy surgery,38,"without Cardiovascular events (CVE; myocardial infarction, stroke)",TwoS
8000382,8,Treatment category: radiotherapy,38,"without Cardiovascular events (CVE; myocardial infarction, stroke)",TwoS
